"","season","off","fumbles","fep","fumble_rate_100","post"
"368",2011,"MIN",20,784,2.55102040816327,1
"369",2011,"NE",7,873,0.801832760595647,1
"370",2011,"NO",5,929,0.538213132400431,1
"371",2011,"NYG",16,802,1.99501246882793,1
"372",2011,"NYJ",16,798,2.00501253132832,1
"373",2011,"OAK",14,807,1.73482032218092,1
"374",2011,"PHI",18,813,2.2140221402214,1
"375",2011,"PIT",17,822,2.06812652068127,1
"376",2011,"SD",17,833,2.04081632653061,1
"377",2011,"SEA",19,798,2.38095238095238,1
"378",2011,"SF",12,821,1.46163215590743,1
"379",2011,"STL",21,760,2.76315789473684,1
"380",2011,"TB",21,746,2.81501340482574,1
"381",2011,"TEN",14,754,1.85676392572944,1
"382",2011,"WAS",18,789,2.28136882129278,1
"383",2012,"ARI",16,752,2.12765957446809,1
"384",2012,"ATL",9,832,1.08173076923077,1
"385",2012,"BAL",9,818,1.10024449877751,1
"386",2012,"BUF",20,783,2.55427841634738,1
"387",2012,"CAR",18,787,2.28716645489199,1
"388",2012,"CHI",16,804,1.99004975124378,1
"389",2012,"CIN",15,819,1.83150183150183,1
"390",2012,"CLE",16,766,2.088772845953,1
"391",2012,"DAL",13,829,1.56815440289505,1
"392",2012,"DEN",14,905,1.54696132596685,1
"393",2012,"DET",16,865,1.84971098265896,1
"394",2012,"GB",11,862,1.27610208816705,1
"395",2012,"HOU",9,891,1.01010101010101,1
"396",2012,"IND",19,822,2.31143552311436,1
"397",2012,"JAC",15,742,2.02156334231806,1
"398",2012,"KC",20,813,2.460024600246,1
"399",2012,"MIA",20,770,2.5974025974026,1
"400",2012,"MIN",18,821,2.19244823386114,1
"401",2012,"NE",13,955,1.36125654450262,1
"402",2012,"NO",11,822,1.338199513382,1
"403",2012,"NYG",9,756,1.19047619047619,1
"404",2012,"NYJ",26,820,3.17073170731707,1
"405",2012,"OAK",18,780,2.30769230769231,1
"406",2012,"PHI",32,828,3.86473429951691,1
"407",2012,"PIT",28,808,3.46534653465347,1
"408",2012,"SD",19,801,2.37203495630462,1
"409",2012,"SEA",14,831,1.68471720818291,1
"410",2012,"SF",18,828,2.17391304347826,1
"411",2012,"STL",15,779,1.92554557124519,1
"412",2012,"TB",10,754,1.3262599469496,1
"413",2012,"TEN",17,736,2.30978260869565,1
"414",2012,"WAS",21,849,2.47349823321555,1
"415",2013,"ARI",17,831,2.04572803850782,1
"416",2013,"ATL",14,813,1.7220172201722,1
"417",2013,"BAL",11,837,1.3142174432497,1
"418",2013,"BUF",24,896,2.67857142857143,1
"419",2013,"CAR",8,820,0.975609756097561,1
"420",2013,"CHI",16,808,1.98019801980198,1
"421",2013,"CIN",16,881,1.8161180476731,1
"422",2013,"CLE",14,782,1.79028132992327,1
"423",2013,"DAL",15,749,2.00267022696929,1
"424",2013,"DEN",18,942,1.91082802547771,1
"425",2013,"DET",26,840,3.0952380952381,1
"426",2013,"GB",15,875,1.71428571428571,1
"427",2013,"HOU",20,829,2.41254523522316,1
"428",2013,"IND",10,793,1.26103404791929,1
"429",2013,"JAC",15,779,1.92554557124519,1
"430",2013,"KC",16,816,1.96078431372549,1
"431",2013,"MIA",11,766,1.43603133159269,1
"432",2013,"MIN",19,798,2.38095238095238,1
"433",2013,"NE",19,895,2.12290502793296,1
"434",2013,"NO",7,879,0.796359499431172,1
"435",2013,"NYG",21,749,2.80373831775701,1
"436",2013,"NYJ",15,808,1.85643564356436,1
"437",2013,"OAK",14,780,1.79487179487179,1
"438",2013,"PHI",19,864,2.19907407407407,1
"439",2013,"PIT",15,818,1.83374083129584,1
"440",2013,"SD",10,895,1.11731843575419,1
"441",2013,"SEA",17,823,2.06561360874848,1
"442",2013,"SF",13,792,1.64141414141414,1
"443",2013,"STL",15,763,1.96592398427261,1
"444",2013,"TB",13,763,1.70380078636959,1
"445",2013,"TEN",18,830,2.16867469879518,1
"446",2013,"WAS",25,854,2.92740046838408,1
